"title","price","priceAfterDiscount","sold","store","shopBadge"
"Tuya Wifi Smart Dimmer Switch Led Touch Wall Light Switch Smart Life App Voice Control Lamp Switch Work With Alexa Google Home Nbj5X","Rp565.000","Rp565.000","N/A","Baju skena","N/A"
"CORUI Tuya WiFi Smart Light Bulb Adapter Smart Lamp Holder Base","Rp310.000","Rp310.000","N/A","erlishh","N/A"
"CROSIKO E27 B22 Smart RGBW LED Bulb Bekerja dengan Tuya Smart Led Lamp","Rp1.071.590","Rp1.071.590","N/A","Tariols98","N/A"
"New Smart Wifi E27 Socket Lamp Holder Tuya Light Bulbs Wi-Fi Adapter Mini Remote Control Smart Home Alexa Google Home Ifttt Alice Smartthings Happy Shopping","Rp273.000","Rp273.000","N/A","TK SARUNGMOTIF TERRANYARRR","N/A"
"Smart Lamp Holder WiFi Tuya","Rp150.000","Rp150.000","N/A","BulelengPedia","N/A"
"New Moes WiFi Smart LED Light Bulb Tuya Dimmable lamp 9W RGB C+W Smart","Rp1.621.800","Rp1.621.800","N/A","VALUEWOMAN","N/A"
"New Smart Ceiling Light RGB TUYA LED Lamp Room Decor App Control with","Rp684.600","Rp684.600","N/A","jukri shop","N/A"
"VICKYO Tuya WIFI Smart LED Quantum Lamp Quadrilateral Stitching Neon","Rp2.259.700","Rp2.259.700","N/A","mitrashop25","N/A"
"Tuya WiFi Smart LED Night Lamp PIR Motion Sensor Dimming Household","Rp842.500","Rp842.500","N/A","zoolamarket","N/A"
"New! Terlaris! Terbaru! Tuya Wifi Ceiling Fan Smart Light Switch US Touch Fan Lamp Light Wall Switch","Rp507.500","Rp507.500","N/A","starmart5","N/A"
"BARDI Smart LED Light Bulb RGB 9-12w/Bohlam lampu Pintar-WIFI Wireless - 9W","Rp142.000","Rp142.000","14 terjual","Sinergi Baja Bandung","N/A"
"Original Bardi Smart LIGHT BULB RGB+WW 12W Wifi Wireless IoT Lampu Pintar","Rp279.000","Rp279.000","8 terjual","Technobitzzz","N/A"
"BARDI LED STRIP RGBWW 2M SMART HOME LED LIGHT - LAMPU HIAS PINTAR","Rp109.000","Rp109.000","14 terjual","Bardi Smart Official","N/A"
"BARDI TRAPEZOID PANEL EXPANSION - LAMPU HIAS WIFI PINTAR","Rp998.000","Rp998.000","N/A","Bardi Smart Official","N/A"
"AMC Tuya Smart Control Panel Mini 3.5 inch 3 Gang Switch Bluetooth Hub Gateway Remote IR Built-in Device & Scene Kontrol Sigmesh 3-Gang Relays","Rp1.599.000","Rp1.599.000","40+ terjual","amc_shop","Power Shop"
"ONASSIS SMART LED STRIPE ONASSIS 5M MILLION COLORS","Rp465.000","Rp241.800","40+ terjual","N/A","N/A"
"ONASSIS SMART LED STRIPE ONASSIS 2M MILLION COLORS","Rp187.500","Rp97.500","40+ terjual","N/A","N/A"
"ONASSIS SMART ADAPTOR LED STRIPE 4-10M + WIFI CONTROLLER","Rp475.000","Rp247.000","20 terjual","N/A","N/A"
"AMC WiFi / Zigbee Smoke Detector Deteksi Asap Alarm Tuya Smart Life","Rp209.000","Rp209.000","250+ terjual","amc_shop","Power Shop"
"PHILIPS Lampu Smart WiFi LED 8W Tunable White Full Color 8 w watt RGB Putih bohlam Wi-Fi Bluetooth","Rp58.900","Rp58.900","90+ terjual","AgenLED","Power Shop"
"AMC S02 Pro Tuya Zigbee Dimmable COB LED Spotlight Lampu Sorot CRI 95","Rp299.000","Rp299.000","100+ terjual","amc_shop","Power Shop"
"Lampu Sensor Gerak Magnetik / Lampu Tidur LED / Lampu Stick Motion Sensor Rechargeable / Lampu Lemari","Rp45.000","Rp32.000","70+ terjual","LED Smart Home","Power Shop"
"AMC S22 Dimmable Fold Grille Light Tuya Zigbee Magnetic Track Lighting","Rp349.000","Rp349.000","40+ terjual","amc_shop","Power Shop"
"New Tuya WiFi Smart Humanbody Induction Small Night Lamp Household Light","Rp681.300","Rp681.300","N/A","Jekiistore","N/A"
"Terlaris! New! 3 Way US Smart Wifi Light Switch Button Tuya Smart Home Wireless Lamp Switches SmartL","Rp208.000","Rp208.000","N/A","camsimanyo","N/A"
"New! Terlaris! Terbaru! Tuya Wifi Ceiling Fan Smart Light Switch US Touch Fan Lamp Light Wall Switch","Rp507.500","Rp507.500","N/A","stellashop1","N/A"
